"","id","param","alpha","alphaMean","alphaSd","alpha_upper","alpha_lower","xmin","xminMean","xminSd","xmin_upper","xmin_lower"
"1","Meuse","longest",2.22628409095868,2.19619955126794,0.162998726182065,2.47044608444916,1.93610148549147,268.3281573,222.86114082985,99.2120301991383,360.545941544999,84.85281374
"2","Meuse","shortest",2.44873802809135,2.19619955126794,0.438586090439903,3.88117781307889,2.0890521310279,129.6815203,146.77899314786,85.3703669970351,388,61.03887143
"3","Meuse","volume",1.8793929675213,1.45273533440102,0.210697163001753,2.00417078772102,1.27781216277706,42795324.9059145,6583312.22158978,14534201.4170475,45814892.8648512,4948.00842940392
"4","Dommel","longest",2.25863240583163,2.28198229921778,0.0697182604841842,2.45728434778129,2.18073281122353,147.785317267988,180.610167309142,60.2649469330795,300.002260076137,120
"5","Dommel","shortest",2.39790087514097,2.28198229921778,0.129682397044949,2.74416791059529,2.20656691303922,96.8405363,97.4985951389262,36.6200671258607,195.0797233,56.6030755886722
"6","Dommel","volume",1.75338046853547,1.4524979682856,0.116438356625251,1.79307773341674,1.33201107773818,49612947.4833473,5249835.81504425,14519155.1970274,47696625.0520427,5401.89523933765
"7","All","longest",2.21458794051987,2.25018771793767,0.0962681601387011,2.41641927414998,2.13553558992171,148,191.784237175177,94.2154455035215,299.23235119218,117.576570795376
"8","All","shortest",2.38263821419006,2.25018771793767,0.13129566833721,2.62087012047128,2.20495315389115,99.1778377200165,105.014720826824,33.9361573074923,147.9019995875,61.6434169577573
"9","All","volume",1.78274510663323,1.55210503985416,0.189970308502538,1.86579600793795,1.3238971122346,57470201.6096693,19259902.9820898,25639639.3404068,82316743.4521653,5432.96215744798
