"","id","param","alpha","alphaMean","alphaSd","alpha_upper","alpha_lower","xmin","xminMean","xminSd","xmin_upper","xmin_lower"
"1","Meuse","longest",2.29316335658099,2.23671498643332,0.0830562477427456,2.40812955209235,2.11296762534114,268.3281573,209.0469172774,73.8151207412965,379.4733192,116.6190379
"2","Meuse","shortest",2.89536639617778,2.23671498643332,0.286523448549666,3.06617583213603,2.20748975930764,341.3711451,191.68568569167,111.918891576817,357.0023668125,83.7230004355
"3","Meuse","volume",1.62343921435945,1.56128049512611,0.104060695858966,1.698776751383,1.38446100183437,32840115.2055253,20803804.2876818,18677738.5712949,51150149.2938208,223921.300064295
"4","Dommel","longest",2.35303969370464,2.35333234377167,0.0220946950028075,2.39809014482362,2.31134680213906,169.788839444764,171.761580109205,13.1634389585325,199.903085291768,152.310637636133
"5","Dommel","shortest",2.40548236910606,2.35333234377167,0.0298880901256607,2.47693971010654,2.35710801166738,84.7581204313885,87.2881528862391,5.53029147074039,98.2963591055,78.2506862259686
"6","Dommel","volume",1.78414588862339,1.4887884644096,0.106087384537152,1.80858150528458,1.4352428179364,56407296.0952047,6262857.35741575,18050295.2747245,59110411.8270021,210112.118583604
"7","All","longest",2.30355787661131,2.29924762699794,0.0242453396846183,2.35858145302131,2.25786530871383,169.432139808243,170.180013676438,22.3616410146733,268.3281573,143.948775611326
"8","All","shortest",2.38211218311212,2.29924762699794,0.0312048748090662,2.43114541213666,2.31513962586184,93.6179005590816,91.1514616981658,6.43573723979624,103.612957559688,81.1916352115
"9","All","volume",1.7204066284593,1.61607156583864,0.142404905032682,1.78529438322401,1.42484318756747,49987604.1830511,33177609.2275762,36393921.3197977,91773654.3434999,257474.684078094
