"","polymer_number","polymer_name","area","elongation","length","width","volume","weight","FTIR_analysed_filter","shape","sampletype","location","sieve","sample_volume"
"39",3,"polyethylene, chlorinated",332.75,1.2209520285227,22.6770809408971,18.5732775826871,2867.21930018163,3.32597438821069e-09,"BS100III","particle","sample","BS",100,1870
"40",3,"polyethylene, chlorinated",302.5,1.96320316508136,23.3345237791561,11.8859444576074,1208.26723116944,1.40158998815655e-09,"BS100III","particle","sample","BS",100,1870
"41",3,"polyethylene, chlorinated",302.5,1.69542895153261,22.6770809408971,13.3754239128675,1486.95875697434,1.72487215809023e-09,"BS100III","particle","sample","BS",100,1870
"42",3,"polyethylene, chlorinated",302.5,1.76431636712711,28.0446073247603,15.8954526791735,2597.11886447964,3.01265788279638e-09,"BS100III","particle","sample","BS",100,1870
"43",3,"polyethylene, chlorinated",272.25,2.06547536705197,22.6770809408971,10.9791098468843,1001.88545797928,1.16218713125597e-09,"BS100III","particle","sample","BS",100,1870
"44",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"45",3,"polyethylene, chlorinated",937.75,2.21350710164876,51.8868962263113,23.4410344505616,10449.7981451935,1.21217658484244e-08,"BS100III","particle","sample","BS",100,1870
"46",3,"polyethylene, chlorinated",907.5,1.87667595651434,55.2743159161649,29.4533085076813,17574.7117841018,2.03866656695581e-08,"BS100III","particle","sample","BS",100,1870
"47",3,"polyethylene, chlorinated",907.5,2.60480560125691,56.6259657754285,21.7390371658079,9808.28088575234,1.13776058274727e-08,"BS100III","particle","sample","BS",100,1870
"48",3,"polyethylene, chlorinated",877.25,1.28817586480644,44.342417615642,34.4226427672628,19257.7014594242,2.2338933692932e-08,"BS100III","particle","sample","BS",100,1870
"49",3,"polyethylene, chlorinated",816.75,2.23289337878245,44.342417615642,19.858725919023,6409.42092644482,7.43492827467599e-09,"BS100III","particle","sample","BS",100,1870
"50",3,"polyethylene, chlorinated",242,2.98543159965826,22.6770809408971,7.59591375112831,479.561005569908,5.56290766461093e-10,"BS100III","particle","sample","BS",100,1870
"51",3,"polyethylene, chlorinated",242,2.98543159965826,22.6770809408971,7.59591375112831,479.561005569908,5.56290766461093e-10,"BS100III","particle","sample","BS",100,1870
"52",3,"polyethylene, chlorinated",211.75,1.80739222829495,17.3925271309261,9.62299541773163,590.309686644022,6.84759236507066e-10,"BS100III","particle","sample","BS",100,1870
"53",3,"polyethylene, chlorinated",211.75,2.53770714772486,19.8305320150519,7.81435006510925,443.830101257387,5.14842917458568e-10,"BS100III","particle","sample","BS",100,1870
"54",3,"polyethylene, chlorinated",211.75,2.09695345908454,19.8305320150519,9.45682982573646,650.013199974239,7.54015311970117e-10,"BS100III","particle","sample","BS",100,1870
"55",3,"polyethylene, chlorinated",211.75,2.18075972567815,17.3925271309261,7.97544402812077,405.479679735974,4.7035642849373e-10,"BS100III","particle","sample","BS",100,1870
"56",3,"polyethylene, chlorinated",211.75,2.09383631782266,17.3925271309261,8.30653618092374,439.844609610509,5.1021974714819e-10,"BS100III","particle","sample","BS",100,1870
"57",3,"polyethylene, chlorinated",181.5,2.5790980759232,19.8305320150519,7.6889406417604,429.69870451229,4.98450497234257e-10,"BS100III","particle","sample","BS",100,1870
"58",3,"polyethylene, chlorinated",181.5,2.63644253522291,17.3925271309261,6.59696803497958,277.426607603384,3.21814864819925e-10,"BS100III","particle","sample","BS",100,1870
"59",3,"polyethylene, chlorinated",181.5,2.03100960093531,16.5,8.12403840553067,399.139346726499,4.63001642202739e-10,"BS100III","particle","sample","BS",100,1870
"60",3,"polyethylene, chlorinated",181.5,2.2912878474817,17.3925271309261,7.59072115275336,367.303805048082,4.26072413855775e-10,"BS100III","particle","sample","BS",100,1870
"61",3,"polyethylene, chlorinated",544.5,1.63526489770811,29.6184064392398,18.1122987968195,3561.27490113051,4.13107888531139e-09,"BS100III","particle","sample","BS",100,1870
"62",3,"polyethylene, chlorinated",544.5,2.64251015825652,47.3127889687344,17.9044870729847,5559.02950932225,6.44847423081381e-09,"BS100III","particle","sample","BS",100,1870
"63",3,"polyethylene, chlorinated",544.5,2.67258625834085,42.9563732174866,16.0729604454952,4067.39191667506,4.71817462334307e-09,"BS100III","particle","sample","BS",100,1870
"64",3,"polyethylene, chlorinated",514.25,2.68720428517778,42.9563732174866,15.9855257207007,4023.26015873667,4.66698178413453e-09,"BS100III","particle","sample","BS",100,1870
"65",3,"polyethylene, chlorinated",514.25,2.14075308855553,40.0406043910428,18.7039806716151,5134.11245102564,5.95557044318975e-09,"BS100III","particle","sample","BS",100,1870
"66",3,"polyethylene, chlorinated",514.25,1.69023937089409,35.2171833058807,20.835618855128,5603.56080383874,6.50013053245294e-09,"BS100III","particle","sample","BS",100,1870
"67",3,"polyethylene, chlorinated",514.25,1.650766881175,46.6690475583121,28.2711314907733,13671.3682357485,1.58587871534682e-08,"BS100III","particle","sample","BS",100,1870
"68",3,"polyethylene, chlorinated",453.75,2.18713858388509,32.0702354216492,14.6631016698913,2527.26336585119,2.93162550438739e-09,"BS100III","particle","sample","BS",100,1870
"69",3,"polyethylene, chlorinated",453.75,1.990345833569,29.6184064392398,14.8810352149352,2403.94562218681,2.7885769217367e-09,"BS100III","particle","sample","BS",100,1870
"70",3,"polyethylene, chlorinated",423.5,1.73223489681104,24.5967477524977,14.1994297642768,1817.67467923394,2.10850262791137e-09,"BS100III","particle","sample","BS",100,1870
"71",3,"polyethylene, chlorinated",423.5,2.68997305722543,33,12.2677808654477,1820.29854395295,2.11154631098543e-09,"BS100III","particle","sample","BS",100,1870
"72",3,"polyethylene, chlorinated",393.25,2.50952376908019,33.4551939166402,13.3312919083857,2179.23813413997,2.52791623560236e-09,"BS100III","particle","sample","BS",100,1870
"73",3,"polyethylene, chlorinated",393.25,2.88985617853707,40.0406043910428,13.8555699375021,2817.3842100725,3.2681656836841e-09,"BS100III","particle","sample","BS",100,1870
"74",3,"polyethylene, chlorinated",393.25,2.14158552954427,32.0702354216492,14.9749963189534,2635.92020417386,3.05766743684168e-09,"BS100III","particle","sample","BS",100,1870
"75",3,"polyethylene, chlorinated",363,1.97904632446214,32.0702354216492,16.2048937537453,3086.67700277814,3.58054532322264e-09,"BS100III","particle","sample","BS",100,1870
"76",3,"polyethylene, chlorinated",332.75,1.52752523171162,22,14.4023807550129,1672.58392864053,1.94019735722301e-09,"BS100III","particle","sample","BS",100,1870
"77",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"78",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"79",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"80",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"81",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"82",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"83",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"84",3,"polyethylene, chlorinated",272.25,2.705327896335,24.5967477524977,9.09196544560079,745.229267470879,8.64465950266219e-10,"BS100III","particle","sample","BS",100,1870
"85",3,"polyethylene, chlorinated",272.25,1.88024524073613,22.6770809408971,12.0607038111789,1209.00783893787,1.40244909316793e-09,"BS100III","particle","sample","BS",100,1870
"86",3,"polyethylene, chlorinated",272.25,1.00000000005819,15.556349186104,15.5563491851988,1379.81134433346,1.60058115942681e-09,"BS100III","particle","sample","BS",100,1870
"87",3,"polyethylene, chlorinated",272.25,1.62071029076575,19.8305320150519,12.2357043871687,1088.15053487458,1.26225462045451e-09,"BS100III","particle","sample","BS",100,1870
"88",3,"polyethylene, chlorinated",272.25,1.20820710850196,17.3925271309261,14.3953193194591,1320.99738423956,1.53235696571789e-09,"BS100III","particle","sample","BS",100,1870
"89",3,"polyethylene, chlorinated",272.25,2.87523053826679,28.0446073247603,9.75386389074242,977.911172176677,1.13437695972495e-09,"BS100III","particle","sample","BS",100,1870
"90",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"91",3,"polyethylene, chlorinated",20963.25,1.3703916342586,198.305320150519,144.707042273945,1521984.96324199,1.76550255736071e-06,"BS100III","particle","sample","BS",100,1870
"92",3,"polyethylene, chlorinated",14096.5,1.60936994296724,198.762420995519,123.503251607306,1111188.46410155,1.2889786183578e-06,"BS100III","particle","sample","BS",100,1870
"93",3,"polyethylene, chlorinated",5656.75,2.30386388357885,148.092032196199,64.2798531856626,224273.575788992,2.60157347915231e-07,"BS100III","particle","sample","BS",100,1870
"94",3,"polyethylene, chlorinated",4658.5,1.7601305619342,102.305913807561,58.1240483064715,126680.308200183,1.46949157512213e-07,"BS100III","particle","sample","BS",100,1870
"95",3,"polyethylene, chlorinated",4477,2.80898994764568,152.122483545333,54.1555813230419,163522.121711349,1.89685661185165e-07,"BS100III","particle","sample","BS",100,1870
"96",3,"polyethylene, chlorinated",4083.75,2.93566057737216,130.385965502427,44.4145234321132,94270.8716276435,1.09354211088066e-07,"BS100III","particle","sample","BS",100,1870
"97",3,"polyethylene, chlorinated",4023.25,2.77654338392399,125.539834315647,45.2144328241058,94065.9374966432,1.09116487496106e-07,"BS100III","particle","sample","BS",100,1870
"98",3,"polyethylene, chlorinated",3418.25,1.55637772334818,123.597127798343,79.4133236065942,285687.859982159,3.31397917579305e-07,"BS100III","particle","sample","BS",100,1870
